NID,Time,EventName,DisasterType,Lon,Lat,C_Name,T_Name,Address,situation,TOWN_ID
140702,2016-9-15 06:31,莫蘭蒂颱風,debris flow,121.083342,22.904756,臺東縣,延平鄉,臺東縣延平鄉桃源村11鄰,桃源村二層坪土石流，無法通行。,1001413
140703,2016-9-15 06:30,莫蘭蒂颱風,slope slump,121.284091,23.298606,花蓮縣,卓溪鄉,花蓮縣卓溪鄉卓清村卓富橋,路邊有落石,1001513
140783,2016-9-15 05:50,莫蘭蒂颱風,debris flow,121.00756,22.88668,臺東縣,延平鄉,臺東縣延平鄉紅葉村2鄰38號,紅葉村2鄰後方土石崩落，目前已知2鄰38號房屋已遭沖失。,1001413
140788,2016-9-15 05:48,莫蘭蒂颱風,rock fall,121.063654,22.893495,臺東縣,延平鄉,臺東縣延平鄉紅葉村,紅葉村東36縣松楓橋附近、瓦剛橋前土石崩落，目前人車無法通行。,1001413
139855,2016-9-15 03:54,莫蘭蒂颱風,debris flow,120.989953,22.773698,臺東縣,卑南鄉,臺東縣卑南鄉,台東縣卑南鄉初鹿村水源頭3號有土石流 110受理,1001404
140093,2016-9-15 01:58,莫蘭蒂颱風,rock fall,120.98676,22.579472,臺東縣,太麻里鄉,臺東縣太麻里鄉,大武鄉台九線398.5公里處落石,1001409
140398,2016-9-15 00:07,莫蘭蒂颱風,debris flow,120.989953,22.773698,臺東縣,卑南鄉,臺東縣卑南鄉,卑南鄉鹿鳴橋橋頭土地公廟土石流,1001404
139613,2016-9-14 23:13,莫蘭蒂颱風,road blockage,120.722322,22.205047,屏東縣,獅子鄉,屏東縣獅子鄉楓林村7鄰16號,"屏東縣獅子鄉楓林村(新路社區)往公墓方向道路土石淤積,排水溝堵住",1001332
139628,2016-9-14 23:04,莫蘭蒂颱風,debris flow,121.240134,22.980742,臺東縣,東河鄉,臺東縣東河鄉加母子灣路段,台11線加母子灣路段有土石流(110轉報),1001407
139669,2016-9-14 22:34,莫蘭蒂颱風,debris flow,121.602753,23.994927,花蓮縣,花蓮市,花蓮縣花蓮市,依據行政院農委會第9報本縣共計2條土石流潛勢溪流達紅色警戒，136條土石流潛勢溪流達黃色警戒。,1001501
139071,2016-9-14 22:17,莫蘭蒂颱風,debris flow,121.046304,22.762829,臺東縣,卑南鄉,臺東縣卑南鄉東興村,水保局發布東縣DF055土石流紅色警戒，請相關單位針對保全戶作強制疏散撤離。,1001404
139711,2016-9-14 22:17,莫蘭蒂颱風,roadbed loss,120.527235,22.650686,屏東縣,麟洛鄉,屏東縣麟洛鄉麟蹄村中山路158號,屏東縣麟洛鄉麟蹄村中山路158號(麟洛鄉公所)前方馬路出現坑洞，影響交通安全。,1001307
139272,2016-9-14 21:10,莫蘭蒂颱風,rock fall,120.964714,22.527463,臺東縣,太麻里鄉,臺東縣太麻里鄉金崙村,"台9線415.5K處有落石,影響交通",1001409
137865,2016-9-14 19:05,莫蘭蒂颱風,slope slump,120.702816,22.406079,屏東縣,春日鄉,屏東縣春日鄉,公所轉報：古士道路146線7K處土石坍方，道路不通。公所回覆：先請村長封路。,1001331
138187,2016-9-14 18:27,莫蘭蒂颱風,rock fall,120.734014,22.082712,屏東縣,車城鄉,屏東縣車城鄉溫泉村,縣道33k處，有土石掉落，影響交通，請縣府立即處理。,1001323
138334,2016-9-14 18:13,莫蘭蒂颱風,road blockage,120.702816,22.406079,屏東縣,春日鄉,屏東縣春日鄉,屏 146線5K至 7K有3處塌陷 屏 132線 7.5K至 9K有3處塌陷,1001331
138635,2016-9-14 17:36,莫蘭蒂颱風,debris flow,121.403836,23.16949,臺東縣,成功鎮,臺東縣成功鎮忠孝里石傘路,台11 線103.5k道路邊坡土石滑落影響交通,1001402
139483,2016-9-14 16:58,莫蘭蒂颱風,road blockage,121.303825,24.196869,南投縣,仁愛鄉,南投縣仁愛鄉榮興村,台8線9K處落石坍方，交通中斷。,1000813
138762,2016-9-14 16:38,莫蘭蒂颱風,debris flow,120.37299,22.737572,高雄市,大社區,高雄市大社區186甲線往義大4k-4.5k,樹倒，5k-5.5k土石流 ,6401600
136244,2016-9-14 16:19,莫蘭蒂颱風,debris flow,120.644302,22.315222,屏東縣,獅子鄉,屏東縣獅子鄉南世村,"颱風過境恆春半島,雨勢過大造成南世村上方坡地土石下滑",1001332
